pmid,doi,title,abstract,journal,year,authors,keywords,citation_count,source,url
,10.1021/acs.biomac.5c01236,Combinatorial Discovery of RAFT Cationic Polymers for mRNA Delivery: Structure-Function Insights from High-Throughput Screening and Machine Learning.,"Cationic polymers are considered promising delivery systems for mRNA, offering potential advantages over lipid nanoparticles. Here a library of tertiary amine-containing, methacrylate-based cationic polymers with diverse molecular characteristics and properties were prepared by combinatorial RAFT polymerization for mRNA delivery. The ability of the synthesized cationic polymers to complex with mRNA was thoroughly investigated. The biological responses, including cellular uptake, cytotoxicity, and mRNA transfection efficiency, of the formed mRNA-polymer polyplexes were systemically investigated. Through high-throughput screening assays, we identified several lead polymers that showed superior effectiveness in delivering mRNA, with performance significantly outperforming other synthesized cationic polymers as well as polyethylenimine (PEI) and Lipofectamine, two benchmark gene delivery materials. To unravel the complex structure-function relationships between the chemical and physical properties of cationic polymers/mRNA polyplexes and their biological responses, machine learning analyses were conducted. These in silico studies identified several key attributes that are predictive of cellular uptake, cytotoxicity, and mRNA transfection efficiency, providing valuable insights for the future design of more potent cationic polymers for mRNA delivery.",Biomacromolecules,,"['WentingYang', 'ShangqianLi', 'SiqiYu', 'Alex G Cde Sá', 'Tanmayee Sai SivaniIta', 'TianLiang', 'HelenForgham', 'RuiruiQiao', 'JiulongLi', 'Patrick SStayton', 'David BAscher', 'HuanMeng', 'Andrew KWhittaker', 'ChangkuiFu']",,,PubMed,
,10.1002/cnr2.70350,Prediction of Lung Cancer Metastasis Using Machine Learning Models Based on Clinical Laboratory Data.,"Lymph node (N) or/and distant metastasis in lung cancer indicates poorer prognosis. While laboratory tests and computed tomography (CT) scans reflect tumor growth and metabolic activity, they usually require combination with other diagnostic methods to effectively assess metastasis, resulting in limited clinical use of these results.
Develop machine learning models using diverse clinical laboratory data to predict lymph node invasion and skip N metastasis in lung cancer.
This study performs regression analysis on lung cancer cases initially diagnosed by histopathology, categorized into N and M (skip N metastasis) groups by TNM stage. Laboratory and clinical test results were collected as characteristic parameters. Univariate analysis and lasso regression identified key predictors, and four machine learning algorithms developed the model.
Of the 1629 cases analyzed, 861 were assigned to the N group and 519 to the M group. Univariate analysis revealed significant differences in 40 parameters in Group N and 27 parameters in Group M (p < 0.05). LASSO regression identified 13 characteristic factors for the N group and 12 for the M group. In the N group, the factors included tumor size, prothrombin time (PT), mean platelet volume, fibrinogen, platelet count, procalcitonin, carbohydrate antigen 15-3 (CA 15-3), carcinoembryonic antigen (CEA), adenosine deaminase, red blood cell distribution width, thrombin time, smoking history, and alcohol consumption history. In the M group, the factors included cytokeratin 19 fragment, tumor size, CEA, CA 15-3, squamous cell carcinoma antigen (SCCA), alkaline phosphatase, fibrinogen, hemoglobin, calcium, albumin, PT, and absolute monocyte count. The test cohort results indicated that the logistic regression model was optimal for both groups, achieving AUC values of 0.888 and 0.875, respectively.
The study demonstrated the potential of using ML algorithms, laboratory data, and clinical features to predict N involvement and skip N metastasis in lung cancer.","Cancer reports (Hoboken, N.J.)",,"['ChaoDu', 'QiLiu', 'YuanyuanGuo', 'JunGong', 'LingYan', 'ZhijieLi', 'ChangchunNiu']",,,PubMed,
,10.1186/s13020-025-01209-8,Potential mechanisms of acupuncture treatment for rheumatoid arthritis: a study based on network topology and machine learning.,"Rheumatoid arthritis (RA) is a systemic autoimmune disease that requires multitarget therapeutic strategies. Acupuncture, an integrative therapy of traditional Chinese medicine (TCM), has shown efficacy in the clinical treatment of RA, but its molecular mechanisms remain unclear.
This study systematically elucidated the holistic regulatory effects of acupuncture on RA by integrating network topology with machine learning approaches.
Data on the interactions between acupuncture-affected endogenous compounds and RA-related targets were extracted from databases, and a multidimensional interaction network was constructed to map the interactions between acupuncture and RA. screened RA-related differentially expressed genes (DEGs) from the GEOdatabase that intersected with acupuncture-responsive genes. The clusterProfiler was used for KEGG/GO enrichment analysis of these DEGs, and the immune microenvironment was analyzed via the CIBERSORTx and xCell algorithms. ConsensusClusterPlus (R package) was used for unsupervised clustering to obtain DEGs. Subsequently, key genes were identified via an ensemble machine learning model (GLM/SVM/XGB/RF), and nomograms were created. Two-sample MR and colocalization analyses were applied to validate the causal relationship between core acupuncture-affected DEGs and RA risk.
This study identified 10 acupuncture-regulated endogenous compounds and 49 RA-related DEGs. KEGG analysis revealed that the DEGs enriched in immune pathways included the JAK/STAT pathway, which mediates inflammatory responses, the T-cell receptor signaling pathway, which is involved in T-cell differentiation, and the TNF signaling pathway. Immunome profiling via the CIBERSORT algorithm revealed that the DEGs were enriched primarily in key immune cell subpopulations, such as M1 macrophages, activated CD4⁺ T cells, Tregs, and B lymphocytes. Machine learning identified five key genes associated with immune infiltration (STAT1, GAPDH, JAK2, PTGS2, and MDM2). MR/colocalization confirmed that acupuncture-regulated STAT1 expression was positively correlated with RA genetic susceptibility, highlighting that the STAT1-mediated JAK/STAT pathway is involved in immune remodeling.
STAT1, GAPDH, JAK2, PTGS2, and MDM2 may be potential targets for the acupuncture treatment of RA. Acupuncture may achieve systemic immune regulation by synergistically targeting multiple pathways (JAK/STAT, TNF) and immune cells (M1 macrophages, CD4",Chinese medicine,,"['FeiyangLi', 'ZhenLiu', 'YuanXu', 'YiGuo', 'ZhifangXu', 'GongmingYuan', 'JiyuZhao', 'PeiyunLi', 'RuiWang', 'JulieHowatson', 'XueLi', 'YongmingGuo', 'YinanGong']",,,PubMed,
,10.1186/s12911-025-03133-1,AI-driven prognostics in pediatric bone marrow transplantation: a CAD approach with Bayesian and PSO optimization.,"Bone marrow transplantation (BMT) is a critical treatment for various hematological diseases in children, offering a potential cure and significantly improving patient outcomes. However, the complexity of matching donors and recipients and predicting post-transplant complications presents significant challenges. In this context, machine learning (ML) and artificial intelligence (AI) serve essential functions in enhancing the analytical processes associated with BMT. This study introduces a novel Computer-Aided Diagnosis (CAD) framework that analyzes critical factors such as genetic compatibility and human leukocyte antigen types for optimizing donor-recipient matches and increasing the success rates of allogeneic BMTs. The CAD framework employs Particle Swarm Optimization for efficient feature selection, seeking to determine the most significant features influencing classification accuracy. This is complemented by deploying diverse machine-learning models to guarantee strong and adaptable analytical capabilities. The Adaptive Tree of Parzen Estimators (TPE), a Bayesian optimization technique, is a key component of the proposed methodology. TPE is instrumental in navigating the complex hyperparameter space to optimize model performance, enhancing the overall effectiveness of the ML algorithms. Besides, the study investigates the impact of various scaling techniques on model performance, including L1 normalization and L2 normalization, ensuring that data preprocessing is optimized for the best possible outcomes. The Local Interpretable Model-Agnostic Explanations (LIME) framework is utilized to enhance model transparency and interpretability, bridging the gap between complex AI algorithms and clinical usability. This study uses a comprehensive dataset titled ""Bone Marrow Transplant: Children, which is the analysis's foundation. The findings, validated by ANOVA and T-tests, reveal significant associations between several factors and survival status, highlighting the importance of Donorage, extcGvHD, PLTrecovery, and survival_time, among others. The optimal CAD framework employs a majority voting ensemble of seven finely-tuned machine learning algorithms, achieving remarkable performance metrics. The proposed CAD framework not only achieves high accuracy (98.07%), Balanced Accuracy (98.08%), precision (98.45%), recall (98.02%), specificity (98.14%), F1 score (98.23%), and Intersection over Union (96.53%) but also offers interpretable insights into the classification procedure, contributing significantly as a comprehensive tool for clinicians in the domain of childhood BMT.",BMC medical informatics and decision making,,"['MahmoudBadawy', 'YousryAbdulAzeem', 'HanaaZainEldin', 'Hossam MagdyBalaha', 'AmnaBamaqa', 'Rasha FEl-Agamy', 'Hanaa ASayed', 'Mostafa AElhosseini']",,,PubMed,
,10.1186/s12891-025-09187-6,A collaborative approach of finite element method and machine learning algorithms for biomechanical analysis of implants used in tibial shaft fractures.,"Tibial fractures are among the most common complex orthopedic injuries. The mechanical strength and biomaterial properties of implants used in the treatment of such fractures directly affect the healing process. In this study, the mechanical effects of different implant designs and biomaterials on obliquely fractured tibia were analyzed. In addition, it was aimed to evaluate the data obtained from finite element analysis (FEA) with machine learning (ML) algorithms.
Seven implant models for tibial shaft fractures were analyzed using static structural simulations in Ansys Workbench. Implants and cortical screws were made of Ti-6Al-4 V alloy or 316 L stainless steel (SS), and axial loads of 600, 800, and 1000 N simulated single-leg stance. A dataset of 1008 points, including maximum stress and total displacement, was generated and used to train Multilayer Perceptron (MLP), Support Vector Machine (SVM) and Decision Tree (DT) models in WEKA.
The mechanical behaviors of different implant and biomaterial combinations were compared, and the maximum stress value in implants with 316 L SS material properties was higher than the maximum stress value in Ti-6Al-4 V alloy implants. When the total displacement values ​​in the tibia fracture region were examined, 316 L SS implants gave better results. In the machine learning estimations, the SVM model outperformed the MLP and DT algorithms. For maximum stress prediction, SVM achieved an mean absolute error (MAE) of 0.24 and 0.41 for the training and test sets, respectively, while MLP and DT showed higher errors (3.27/4.02 and 10.99/14.90, respectively). Similarly, for total displacement prediction, SVM showed the lowest errors with MAE values of 0.0003 and 0.0015 for the training and test sets, whereas MLP and DT had higher MAE (0.0032/0.0040 and 0.0058/0.0072, respectively).
This study evaluated the effects of different implant designs and biomaterials on oblique tibial fractures and demonstrated that finite element results can be accurately predicted using machine learning models. The SVM algorithm showed superior performance, with prediction errors of approximately 0.24-0.41% MAE and 0.27-0.49% root mean square error (RMSE) for maximum stress, and 0.03-0.15% MAE and 0.03-0.23% RMSE for total displacement in the training and test sets, respectively. In comparison, MLP and DT exhibited higher errors. These findings highlight the potential of data-driven approaches in biomechanical analyses and their contribution to developing clinical decision support systems.",BMC musculoskeletal disorders,,['Halil BurakMutu'],,,PubMed,
,10.1186/s12890-025-03921-5,Machine learning-based prediction of N2 lymph node metastasis in non-small cell lung cancer.,"Lung cancer is a leading cause of cancer-related mortality worldwide. Accurate staging of mediastinal lymph nodes is a crucial step in determining appropriate treatment approaches. Current noninvasive diagnostic methods do not provide sufficient accuracy to confidently decide on surgery without histological confirmation. Our study aimed to develop a artificial intelligence model for the precise prediction of N2 lymph node metastasis.
We retrospectively analyzed 1489 patients who underwent standard cervical mediastinoscopy at our department, including 472 patients diagnosed with non-small cell lung cancer. We developed three distinct prediction models for N2 lymph node station metastasis: one using standard statistical analysis, another utilizing an image processing deep learning algorithm with thoracic CT, and the third employing various machine learning methods with clinicopathological and radiological data. We compared diagnostic accuracy, area under the curve (AUC), sensitivity, and specificity rates, as well as the F1-score of all models.
Linear discriminant analysis, quadratic discriminant analysis, Gaussian naive Bayes, and artificial neural networks all surpassed 90% accuracy. The linear support vector machine demonstrated the highest performance, with an accuracy of 95.7%, an AUC of 93.5%, and an F1-score of 92%, respectively and outperformed the logistic regression-based statistical model, which reached an accuracy of 90.6% and an AUC of 85.7%.
Machine learning models outperformed standard statistical analysis models in predicting N2 lymph node metastasis. Implementing these machine learning prediction models might greatly improve the accuracy of mediastinal lymph node metastasis detection, thereby enhancing clinical decision making and patient outcomes.",BMC pulmonary medicine,,"['ErenErdogdu', 'İlkayÖksüz', 'SalihDuman', 'BerkerOzkan', 'Sukru MehmetErturk', 'Doğu VurallıBakkaloğlu', 'MuratKara', 'AlperToker']",,,PubMed,
,10.1186/s12886-025-04372-6,A comprehensive overview: deep learning approaches to central serous chorioretinopathy diagnosis.,"To synthesize evidence on deep learning applications for diagnosing central serous chorioretinopathy (CSCR), a macular disorder associated with vision loss, this systematic review categorized studies by diagnostic task and imaging modality. The study evaluates advances in deep learning performance, clinical integration potential, dataset limitations, and the contributions of multimodal imaging and Explainable AI (XAI) to diagnostic accuracy and clinical decision-making.
We conducted a PRISMA-compliant systematic review of PubMed, Scopus, and IEEE Xplore, including peer-reviewed English-language studies published from January 1990 to February 2024 that reported quantitative deep learning metrics for CSCR diagnosis. A two-stage selection process was applied (Cohen's κ = 0.84), resulting in 96 studies for analysis. Risk of bias was evaluated using the QUADAS-2 tool, and data were synthesized by imaging modality, model architecture, and diagnostic task.
Deep learning models demonstrate exceptional performance in CSCR diagnosis. DenseNet architectures applied to optical coherence tomography (OCT) images achieved peak Metrics, including 99.78% accuracy, 99.68% sensitivity, and 100% specificity. Segmentation models for subretinal fluid (SRF) reported Dice scores of up to 0.965, while multimodal models for differential diagnosis achieved an area under the curve (AUC) of 0.999. Despite these advances, clinical adoption remains limited by several challenges: scarce and imbalanced datasets (e.g., SRF/non-SRF ratio of 1:8), lack of open-access datasets and models, risks of overfitting, and insufficient external validation. Emerging approaches, such as few-shot learning and diffusion models, are promising for mitigating data constraints; however, improvements in dataset quality and the implementation of rigorous cross-institutional validation are essential for real-world deployment.
By leveraging OCT and multimodal imaging data, deep learning has the potential to transform CSCR diagnosis through enhanced accuracy and automation. However, translating these advances into routine clinical practice necessitates overcoming key challenges, including limited and heterogeneous datasets and models with restricted generalizability. Future research should prioritize standardized reporting frameworks, transparent model interpretability through XAI, and rigorous large-scale validation. Essential strategies include employing federated learning to leverage distributed data, implementing effective multimodal fusion techniques, and fostering collaborative frameworks to improve diagnostic accuracy, ensure algorithmic fairness, and enable real-world clinical applicability.",BMC ophthalmology,,"['MohammadShojaeinia', 'AzamossadatHosseini', 'MostafaNaderi', 'BardiaBaloutch', 'Mohammad ShokoohiYekta', 'LeilaAkbarpour', 'HamidMoghaddasi']",,,PubMed,
,10.1186/s12885-025-14974-4,AI-Driven predictive modeling of cervical intraepithelial neoplasia severity: a comprehensive analysis with clinical adoption frameworks.,,BMC cancer,,"['FarahFarzaneh', 'AmirSoltani', 'FatemehDastyar', 'MarziehMohammadi', 'Maryam SadatHosseini']",,,PubMed,
,10.1186/s12885-025-14831-4,"AI-driven chemotoxicity prediction in colorectal cancer: impact of race, SDOH, and biological aging.","Patients with colorectal cancer (CRC) often experience chemotoxicity that impacts treatment adherence, survival, and quality of life. Early screening for chemotoxicity risk is vital, yet comprehensive predictive models are lacking. The objective of this study was to develop effective artificial intelligence (AI)/machine learning (ML) models, integrating racialized group, social determinants of health (SDOH) (Area Deprivation Index [ADI], employment status), and biological aging (Levine Phenotypic Age) to predict overall, gastrointestinal (GI), and hematological chemotoxicity.
We used electronic health records data from 1,735 adult patients with CRC. Sociodemographic/clinical variables, Levine Phenotypic Age (biological aging), and SDOH (including geospatial variations measured by ADI) were analyzed using descriptive statistics. Associations with chemotoxicity (overall, GI, hematological) were evaluated via univariate tests. Significant predictors from univariate tests were selected for AI/ML modeling. Six supervised ML models were trained on 80% of cases (n = 1,388), with 20% (n = 347) reserved for testing. Performance was assessed via accuracy, area under the curve (AUC), and F1-score. Permutation feature importance ranked predictors to define the most significant predictors of chemotoxicity.
Support Vector Machine and XGBoost models demonstrated high accuracy in both the training and test datasets. Notably, the AUC (0.988) was highest for the Support Vector Machine model in predicting overall chemotoxicity within the training dataset. Key predictors of overall and GI toxicities included higher Levine Phenotypic Age, elevated inflammatory markers (e.g., C-reactive protein), and poor SDOH (e.g., higher ADI, unemployment). Hematological toxicity was linked to lower inflammatory markers, higher Levine Phenotypic Age, and younger chronological age. Race (non-Hispanic Black), body mass index, and lifestyle also influenced overall and GI toxicities.
ML-based chemotoxicity prediction models incorporating racialized group, SDOH, and biological aging had high accuracy. Greater biological aging, poor SDOH including ADI, and higher inflammation markers were common risk factors for overall and GI chemotoxicity. In contrast, chronological and biological ages and immune/inflammation markers were only linked to hematological chemotoxicity. Integrating these factors into predictive models can help clinicians identify at-risk patients and tailor interventions (e.g., anti-inflammatory, anti-aging strategies) to reduce chemotoxicity and improve survivorship outcomes.",BMC cancer,,"['ClaireHan', 'ChristinBurd', 'JessePlascak', 'FodeTounkara', 'AshleyRosko', 'AnneNoonan', 'AlaiTan', 'Diane VonAh', 'XiaNing']",,,PubMed,
,10.1186/s12876-025-04297-w,The diagnostic value of serum cysteine protease inhibitor (CST4) in colorectal cancer: a preliminary study.,"CST4 is associated with various cancers but its diagnostic value in colorectal cancer (CRC) has not been clearly established. This study aims to further validate the diagnostic value of CST4 in colorectal cancer using random forest models in machine learning based on existing research.
First, the expression of CST4 in CRC patients is analyzed using data from The Cancer Genome Atlas (TCGA) and the results show that CST4 is significantly high expression in CRC patients. To further investigate the diagnostic value of CST4, this retrospective study include 59 colorectal cancer patients, 51 patients with colorectal precancerous lesions and 40 patients with non-adenomatous polyps who visited Chaohu Hospital Affiliated to Anhui Medical University from August 2022 to September 2023. Their serum was collected and the CST4 level was detected by the double-antibody sandwich enzyme-linked immunosorbent assay (ELISA) method. At the same time, CEA and CA199 were also tested.
Analysis of the TCGA database show that CST4 is significantly over expressed in colorectal cancer tissues, including colon adenocarcinoma (COAD) and rectum adenocarcinoma (READ). Serum tests confirm that CST4 levels in CRC patients are significantly higher than those in the precancerous lesion and the polyp group (P < 0.001). However, no significant difference is observed between the precancerous lesion and polyp group. In the ROC curve, the area under the curve (AUC) of CST4 is 0.768 in the CRC group versus the precancerous lesion group and 0.769 in the CRC group versus the polyp group, which is significantly higher than that of CEA (AUC = 0.651/0.659) and CA199 (AUC = 0.486/0.601). In the diagnostic model constructed based on CST4, CEA and CA199, CST4 has the highest weight in differentiating CRC, further confirming its diagnostic value.
The study indicates that CST4 has a higher diagnostic value in colorectal cancer (CRC) and CST4 provides a new approach for early clinical diagnosis.",BMC gastroenterology,,"['YuanLan', 'LiZhang', 'RenjunLi']",,,PubMed,
,10.1186/s12883-025-04435-7,Support vector machine-based preoperative identification of IDH-Mutant low-grade gliomas in adult gliomas using clinical features.,"The preoperative identification of (isocitrate dehydrogenase) IDH-mutant low-grade gliomas (LGGs) is critical for personalized treatment planning. We aimed to develop a streamlined machine-learning model using key clinical features for rapid and accurate preoperative prediction.
A retrospective cohort of 418 adult glioma patients was partitioned into training (70%) and internal validation (30%) sets. (Support Vector Machine) SVM was selected as the optimal model after comparing 9 machine learning models. Six clinically significant features, ranked by predictive importance, were incorporated into the final SVM model. The model's generalizability was further validated using an independent external cohort (n = 206).
The SVM model demonstrated high discriminative performance, achieving an (area under the receiver operating characteristic curve) AUC-ROC of 0.860 (internal validation) and 0.869 (external validation). SHAP (SHapley Additive exPlanations) analysis confirmed age as the most influential predictor, followed by edema and enhanced features, aligning with known biological associations in IDH-mutant LGGs.
This SVM-based model provides a clinically practical tool for the preoperative identification of IDH-mutant LGGs, combining diagnostic reliability, interpretability, and minimal feature requirements. Its robust external validation underscores its potential utility in diverse clinical settings.",BMC neurology,,"['WeiChen', 'Guo-HaoHuang', 'PengRen', 'FeiLi', 'Sheng-QingLv']",,,PubMed,
,10.1186/s12885-025-14999-9,Predicting hematologic toxicity in advanced cervical cancer patients using interpretable machine learning models based on radiomics and dosimetrics.,"Hematologic toxicity (HT) is a common and serious side effect for advanced cervical cancer patients undergoing chemoradiotherapy. Accurately predicting HT can significantly improve patient management and treatment outcomes. This study aims to develop and evaluate interpretable machine learning models that use radiomic and dosimetric features to predict HT in advanced cervical cancer patients.
Retrospectively collected general clinical data, planning CT images, and dose files from 205 patients with advanced cervical cancer who underwent chemoradiotherapy, and classified them according to the severity of HT. Radiomics and dosiomics features were extracted from the same region of interest, and feature selection was performed using a random forest algorithm. Radiomics models, dosiomics models, and hybrid models were then constructed based on extreme gradient boosting trees. Sensitivity, specificity, and the area under the receiver operating characteristic curve (AUC) were calculated to evaluate the classification performance of the models. Finally, SHAP values were used to perform interpretability analysis on the best model to enhance the transparency and practicality of the model.
The sensitivity, specificity, and AUC values for the radiomics model were 0.42, 0.86, and 0.78, respectively, while those for the dosiomics model were 0.50, 0.90, and 0.74. In contrast, the hybrid model exhibited superior classification performance with sensitivity, specificity, and AUC values of 0.50, 0.83, and 0.83, respectively. Compared to the standalone radiomics and dosiomics models, the hybrid model demonstrated enhanced classification capability. Interpretability analysis based on SHAP values not only provided a ranking of feature importance and the distribution of feature impacts on model outputs but also elucidated the specific decision-making processes influenced by these features and the interactions between them. This enables clinicians to gain a more intuitive understanding of the model's decisions.
For patients with advanced cervical cancer undergoing chemoradiotherapy, the integration of radiomics and dosiomics features can significantly enhance the classification performance of predictive models, thereby holding considerable potential for refining patient treatment strategies. Interpretability analysis based on SHAP values can aid clinicians in more readily understanding the model's decisions, thus promoting the effective implementation of the model in clinical practice.",BMC cancer,,"['JunZhu', 'QionghuiZhou', 'LuqiaoChen', 'ZhipengHe', 'JianfengTan', 'JinmengPang', 'QianxiNi']",,,PubMed,
,10.1007/s00586-025-09446-z,"Letter to the Editor concerning ""Age-based prediction of non-routine discharge after anterior cervical discectomy and fusion using machine learning"" by G. Mastrokostas, et al. (Eur Spine J [2025]: doi: 10.1007/s00586-025-09303-z).",,"European spine journal : official publication of the European Spine Society, the European Spinal Deformity Society, and the European Section of the Cervical Spine Research Society",,"['TiantaixiTu', 'LuWang']",,,PubMed,
,10.1007/s00270-025-04171-y,The Role of AI in Clinical Trial Design and Scientific Writing.,"Artificial intelligence is transforming the landscape of clinical research and scientific writing, offering innovative solutions to address inefficiencies in trial design, patient recruitment, and manuscript development. This review explores applications of artificial intelligence in patient matching, endpoint design and predictive trial outcomes, and real-time patient monitoring. It also discusses its role in assisting with literature review, generating content, and refining language in scientific writing, especially for nonnative English speakers. Challenges such as data standardization, explainability, and ethical concerns are highlighted alongside emerging regulatory frameworks to ensure transparent and responsible artificial intelligence integration. By examining its current capabilities and future potential, this article underscores the transformative role of artificial intelligence in enhancing efficiency, reducing costs, and advancing innovation in medical research.",Cardiovascular and interventional radiology,,"['Niki KatsaraAntonakea', 'JuliusChapiro', 'JeffGeschwind']",,,PubMed,
,10.1208/s12249-025-03233-1,The Road to Precision Nanomedicine: An Insight on Drug Repurposing and Advances in Nanoformulations for Treatment of Cancer.,"Cancer remains one of the most significant global health challenges, with its burden continuing to rise. The limitations of conventional anticancer therapies caused by the lack of tissue selectivity, demands urgent development of safer and more selective therapies to target tumors. Identifying the fundamental cancer hallmarks provided a comprehensive understanding of cancer biology for effective tumor targeting, encompassing tumor-promoting inflammation, metabolic reprogramming, immune evasion, genomic instability, phenotypic plasticity, epigenetic reprogramming, and polymorphic microbiomes. Moreover, drug repurposing is a cost-effective and time-saving method for cancer therapy that accelerates the drug discovery process by reusing drugs for new indications. Current research is focusing on combining drug repurposing with nanocarriers that enhance tumor targeting, reduce the side effects, and improve the bioavailability of the drug in a single nanoformulation. This article analyzes various types of nanoparticles encapsulating different classes of drugs, such as phenelzine, fexofenadine, telmisartan, losartan, metformin, canagliflozin, atorvastatin, and fenbendazole, highlighting their anticancer effects and the influence of nanocarriers on the drug's therapeutic effect. Results revealed that drug-encapsulated nanoparticles enhanced antitumor effects compared to the free drug solutions. This is attributed to the synergism from the nanocarrier's functionalization, sustained drug release, and improved cellular uptake within tumors that leads to targeting multiple cancer hallmarks. Additionally, this review highlights the present challenges in the clinical translation of nanoformulation and demonstrates how artificial intelligence may facilitate drug screening and identification, therapeutic optimization, and large-scale manufacture. Finally, using these technologies in combination with drug repurposing presents a promising direction for advancing cancer treatment.",AAPS PharmSciTech,,"['YasminaElmahboub', 'RofidaAlbash', 'SadekAhmed', 'SalwaSalah']",,,PubMed,
,10.1038/s41591-025-03983-2,Generative artificial intelligence in medicine.,"Generative artificial intelligence (GAI) can automate a growing number of biomedical tasks, ranging from clinical decision support to design and analysis of research studies. GAI uses machine learning and transformer model architectures to generate useful text, images and sound data in response to user queries. While previous biomedical deep-learning applications have used general-purpose datasets and enormous volumes of labeled data for training, evidence now suggests that GAI models may perform better while requiring less training data-for example, using smaller, domain-specific datasets. Moreover, AI techniques have progressed from fully supervised training to less label-intensive approaches, such as weakly supervised or unsupervised fine-tuning and reinforcement learning. Recent iterations of GAI, such as agents, mixture-of-expert models and reasoning models, have further extended their capabilities to assist with complex and multistage tasks. Here, we provide an overview of recent technical advancements in GAI. We explore the potential of the latest generation of models to improve healthcare for clinicians and patients, and discuss validation approaches using specific examples to illustrate challenges and opportunities for further work.",Nature medicine,,"['Zhen LingTeo', 'Arun JamesThirunavukarasu', 'KabilanElangovan', 'HaoranCheng', 'PrasanthMoova', 'BrianSoetikno', 'ChristopherNielsen', 'AndreasPollreisz', 'Darren Shu JengTing', 'Robert J TMorris', 'Nigam HShah', 'Curtis PLanglotz', 'Daniel Shu WeiTing']",,,PubMed,
,10.1038/s41380-025-03290-9,Connectome-based markers predict the sub-types of frontotemporal dementia.,"Frontotemporal dementia (FTD) presents a complex spectrum of neurodegenerative disorders, encompassing distinct subtypes with varied clinical manifestations. This study investigates alterations in brain module organization associated with FTD subtypes using connectome analysis, aiming to identify potential biomarkers and enhance subtype prediction. Resting-state functional magnetic resonance imaging data were obtained from 41 individuals with behavioral variant frontotemporal dementia (BV-FTD), 32 with semantic variant frontotemporal dementia (SV-FTD), 28 with progressive non-fluent aphasia frontotemporal dementia (PNFA-FTD), and 94 healthy controls. Individual functional brain networks were constructed at the voxel level and binarized based on density thresholds. Modular segregation index (MSI) and participation coefficient (PC) were calculated to assess module integrity and identify regions with altered nodal properties. The relationship between modular measures and clinical scores was examined, and machine learning models were developed for subtype prediction. Both BV-FTD and SV-FTD groups exhibited decreased MSI in the subcortical module (SUB), default mode network (DMN), and ventral attention network (VAN) compared to healthy controls. Additionally, BV-FTD specifically displayed disrupted frontoparietal network (FPN) integrity compared to other FTD subtypes and controls. All FTD subtypes showed increased PC values in the insular region and reduced connections between the insular and VAN/FPN compared to controls. Moreover, significant associations between specific network alterations and clinical variables were observed. Machine learning models utilizing these matrices achieved high performance in differentiating FTD subtypes. This pilot study reveals diverse brain module organization across FTD subtypes, shedding light on both shared and distinct neurobiological underpinnings of the disorder.",Molecular psychiatry,,"['XinglinZeng', 'JiangshanHe', 'KaixiZhang', 'ShiyangXu', 'XiaoluanXia', 'ZhenYuan']",,,PubMed,
,10.1007/s10555-025-10293-z,Single-cell RNA-sequencing of circulating tumour cells: A practical guide to workflow and translational applications.,"The global burden of cancer is rising, with treatment failures often due to the metastatic nature of late-stage malignancies. Circulating tumour cells (CTCs) are metastatic precursors shed from primary tumours, which survive in circulation, extravasate and colonise distant organs. The advent of high-throughput single-cell RNA sequencing (scRNA-seq) has revolutionised the investigation of transcriptomic landscape at single-cell resolution, enabling deep transcriptomic profiling, re-stratifying CTC subtypes and improving the detection of rare new subpopulations. Applications extend to understanding tumour microenvironments, characterising cellular heterogeneity, uncovering metastasis molecular mechanisms and improving prognosis and diagnostic strategies. A timeline of key milestones in CTC scRNA-seq research is also provided. Nevertheless, a knowledge gap remains due to unstandardised protocols and fragmented resources in CTC scRNA-seq research. We address this gap by proposing a 12-step CTC-specific scRNA-seq workflow to overcome methodological inconsistencies. This workflow spans the entire process from enrichment, single-cell sorting and sequencing to data pre-processing and downstream analyses, with a detailed compilation of data analysis tools. An in-depth discussion of the pros and cons of commonly used scRNA-seq tools is also included, specifically evaluating their suitability for CTC research. Additionally, emerging research frontiers, including the discovery of hybrid cells-fusion products of tumour and normal cells-and the integration of machine learning (ML) into scRNA-seq workflows, are explored. Future research should prioritise CTC scRNA-seq workflow standardisation, integrate ML-driven analysis and investigate rare and hybrid populations to advance metastasis research. This review supports these goals by guiding methods, informing tool selection and promoting data sharing for reproducibility.",Cancer metastasis reviews,,"['Francis Yew FuTieng', 'Learn-HanLee', 'Nurul-SyakimaAb Mutalib']",,,PubMed,
